,GDP_sum,Gini,GDP_sum_norm_100
Afghanistan,150.49003312894382,27.82,0.0
Albania,1730.571402284256,31.18,2.42528028622131
Algeria,2489.3782397638943,35.33,3.589979332684412
Angola,1529.4485130022586,50.65,2.116575058753019
Argentina,6882.717045673968,48.772,10.333352303635152
Armenia,1301.153394451075,35.02636363636364,1.766162946268754
Australia,28406.591929823062,35.19,43.37053029879554
Austria,32939.56648544308,29.15,50.32823136552296
Azerbaijan,1742.9019781514676,35.05666666666667,2.4442065916333475
Bangladesh,402.2918731355827,31.972,0.38649277848824926
Belarus,2619.7019500642873,28.132307692307695,3.790014300242904
Belgium,31287.74003713358,32.97,47.79282894919954
Belize,3661.5239404517038,57.58428571428572,5.389115703728972
Benin,476.257542162107,38.62,0.5000233108070357
Bhutan,1033.6907535305033,42.445,1.3556322717174036
Bolivia,1117.0622295102842,56.445454545454545,1.483599856851977
Bosnia and Herzegovina,1900.5613102018874,33.34,2.686199236711564
Botswana,4188.857213926799,60.96,6.198524014841074
Brazil,4997.570376015332,58.41941176470588,7.439824701950328
Bulgaria,2930.9402398198013,29.169999999999998,4.2677365892316095
Burkina Faso,352.92274612941003,44.2375,0.31071568699578095
Burundi,164.13713782078676,36.330000000000005,0.020947056663808875
Cambodia,381.80526442586404,39.676,0.3550477091360476
Cameroon,883.5186964531262,40.0,1.1251319084571463
Canada,29125.217552918388,32.56,44.47355485872584
Cape Verde,1789.826626410407,50.52,2.5162316319773863
Central African Republic,379.30413894831224,53.73333333333333,0.3512087104411165
Chad,378.3985973958318,39.78,0.3498187870368813
Chile,6375.8822097908,54.36555555555556,9.555407218126815
China,1477.7823269366343,39.0775,2.03727219184042
Colombia,3058.8602497599177,57.02933333333333,4.464082096733447
Comoros,597.8568745790546,64.3,0.6866671568047584
"Congo, Dem. Rep.",169.8387592982136,44.43,0.029698523796220917
"Congo, Rep.",1422.6763514480322,47.32,1.9526895629869783
Costa Rica,4432.218038484047,47.6905,6.572060607170352
Cote d'Ivoire,923.5592006017805,41.446000000000005,1.1865904176565851
