"Year","Afghanistan","Albania","Algeria","Andorra","Angola","Antigua and Barbuda","Arab World","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas, The","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia","Bosnia and Herzegovina","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cambodia","Cameroon","Canada","Cape Verde","Caribbean small states","Cayman Islands","Central African Republic","Chad","Channel Islands","Chile","China","Colombia","Comoros","Congo, Dem. Rep.","Congo, Rep.","Costa Rica","Cote d'Ivoire","Croatia","Cuba","Cyprus","Czech Republic","Denmark","Djibouti","Dominica","Dominican Republic","East Asia & Pacific (all income levels)","East Asia & Pacific (developing only)","Ecuador","Egypt, Arab Rep.","El Salvador","Equatorial Guinea","Eritrea","Estonia","Ethiopia","Euro area","Europe & Central Asia (all income levels)","Europe & Central Asia (developing only)","European Union","Faeroe Islands","Fiji","Finland","France","French Polynesia","Gabon","Gambia, The","Georgia","Germany","Ghana","Greece","Greenland","Grenada","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Heavily indebted poor countries (HIPC)","High income","High income: nonOECD","High income: OECD","Honduras","Hong Kong SAR, China","Hungary","Iceland","India","Indonesia","Iran, Islamic Rep.","Iraq","Ireland","Isle of Man","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea, Rep.","Kosovo","Kuwait","Kyrgyz Republic","Lao PDR","Latin America & Caribbean (all income levels)","Latin America & Caribbean (developing only)","Latvia","Least developed countries: UN classification","Lebanon","Lesotho","Liberia","Libya","Liechtenstein","Lithuania","Low & middle income","Low income","Lower middle income","Luxembourg","Macao SAR, China","Macedonia, FYR","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Mauritania","Mauritius","Mexico","Micronesia, Fed. Sts.","Middle East & North Africa (all income levels)","Middle East & North Africa (developing only)","Middle income","Moldova","Monaco","Mongolia","Montenegro","Morocco","Mozambique","Namibia","Nepal","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","North America","Norway","OECD members","Oman","Other small states","Pacific island small states","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Qatar","Romania","Russian Federation","Rwanda","Samoa","San Marino","Sao Tome and Principe","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Slovak Republic","Slovenia","Small states","Solomon Islands","Somalia","South Africa","South Asia","South Sudan","Spain","Sri Lanka","St. Kitts and Nevis","St. Lucia","St. Vincent and the Grenadines","Sub-Saharan Africa (all income levels)","Sub-Saharan Africa (developing only)","Sudan","Suriname","Swaziland","Sweden","Switzerland","Syrian Arab Republic","Tajikistan","Tanzania","Thailand","Timor-Leste","Togo","Tonga","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United States","Upper middle income","Uruguay","Uzbekistan","Vanuatu","Venezuela, RB","Vietnam","Virgin Islands (U.S.)","West Bank and Gaza","World","Yemen, Rep.","Zambia","Zimbabwe"
"1960",537777811.911111,,2723637620.4039,,,,,,,,18581028110.6507,6592693841.18495,,169802257.755072,,4274893910.13098,87383113.7082563,,11658722590.99,28072504.9840856,226195578.246455,84466654.0801544,,563110051.985951,,30411449.5204893,15165569912.5199,,,330442815.349582,195999989.76,637142864.457143,618740961.846393,41093453544.9096,,1859229137.12282,,112155598.424137,313582727.78493,,4211762521.8548,61377930682.0013,4040948305.94945,,3359404132.31797,131731862.666879,507516617.287777,546203558.310143,,,,,6248946880.2777,,,672399744,155806877588.109,83097034647.9286,1010325080.40254,4144244345.31504,625600000,,,,,244919977558.761,442099937328.741,,366620220668.344,,112334368.396772,5224102195.52771,62651474946.6007,,141468977.521066,,,,1217790385.00425,4446528164.67559,,,1043599936,,,170216238.857225,,17536256204.359,1071689969436.24,,1020927989817.06,335649984,1320799747.31592,,248434096.968726,,,,1683918719.66661,1939329775.43739,,2887081900.67668,40385288344.1911,699064357.298637,44307342950.4,,,791265454.33333,,3891849047.98427,,,,,80916774750.0662,72855943964.0129,,,,34579986.1818375,190495648,,,,288817251257.248,22464509083.5114,,703925705.942958,,,673081724.886165,162960130.465802,2441020461.96574,,,,,92609221.8000538,,13056164925.448,,,,269946159495.086,,,,,2037154692.20616,,,508334421.48977,12276734172.0828,,5485854791.97096,227223322.141537,449526872.712383,4196174379.57502,561709101766.99,5163271598.15702,1050779285225.18,44234654.0484101,,,3707055833.87054,,415800032,230496032.972722,,2503708500.5641,6684685510.90316,,3193200404.37297,1691899776,,,,119000023.159,,,,,792824702.986913,,12012025.2477875,322009478.106707,649592148.085955,,,,,180460950.352325,7363240475.2491,,,12072126075.397,1419629929.41176,12366635.5848801,,13066633.8255337,29694667866.7155,29696900418.9879,1126281325.0324,93850000,35076893.5832733,14842870293.4207,9522746719.21614,857704420.513311,,,2760750919.89028,,121128072.357969,,535673224.327904,,13995124535.3392,,,423145688.927809,,,72328047042.1588,520531181568,186509576661.043,1243993176.35404,,,8607600068.65332,,24200000,,1349563048009.03,,698739720.783607,1052990383.55293
"1961",548888894.577778,,2434766866.27334,,,,,,,,19648336879.8298,7311749633.36229,,190096176.551435,,4817580181.8999,93216432.3803695,,12400145221.595,29965035.3920036,235668220.77437,89249986.7007156,,612518907.152565,,32902654.4010581,15236854859.469,,,350247234.99743,202999992.32,642857135.542857,657597317.013411,40767969453.696,,2010807327.56567,,123134583.702686,333975336.463504,,4705377499.81869,50100934915.6492,4552914126.02977,,3086746936.39789,151675739.030154,490324267.102377,618245634.988018,,,,,6933842098.84548,,,654100160,154757691987.132,71429064386.6921,979108815.580104,4334054779.49568,636240000,,,,,269591891273.487,470599652228.758,,399151618674.733,,116993977.848207,5921659485.03284,68346741504.4257,,167637907.544815,,,,1302394179.86767,5016048786.22753,,,1076699904,,,185849532.898944,,17997293767.1804,1134170382321.31,,1079749749438.17,356200000,1530754831.31986,,253885656.329253,,,,1831479819.38119,2088012282.35667,,3486954461.02714,44842760293.1924,748043414.097894,53508617739.3778,,,792959467.094268,,2357059044.85007,,,,,85889113536.0503,76514383965.4084,,,,35699985.7342857,183920944,,,,270453736114.565,23266222501.8294,,704145671.350213,,,699161943.289594,174580139.768776,2422724545.02623,,,,,107726181.218304,,14153954349.0897,,,,250434570801.113,,,,,2025693478.27347,,,531959569.277059,13493833739.9949,,5670064168.21773,244144236.65331,485785231.713044,4467287731.99387,579908153712.397,5632460936.54576,1104104851563.57,45634493.2717119,,,4054599105.36005,,463700032,244832035.023504,,2822764382.43284,7257047654.30188,,3417516639.37596,1865099904,,,,122000015.482,,,,,836493103.688333,,11592024.3649978,327834752.427556,745379362.430899,,,,,191660990.858439,7742786640.38246,,,13834300571.4849,1454342131.09244,12483301.9583223,,13999964.8130718,30827265655.3676,30829583360.4283,1222952778.49785,98400000,43025972.8068212,16147160122.7882,10712712465.0522,945244981.03812,,,3034037870.23638,,126396468.675871,,584964599.107683,866155455.614084,8017479300.82797,,,441667041.01569,,,76694360635.9159,539050934272,167284187707.453,1549623556.10937,,,8923366627.53039,,25700000,,1400532743186.53,,682359727.329053,1096646620.29728
"1962",546666678.044444,,2001460838.78378,,,,,24450604877.6081,,,19873446074.5884,7756110210.11966,,212252822.19384,,5081413344.74945,96949756.330522,,13264015675.3193,31857562.9999186,236434954.308407,94149985.9705588,,669722540.430041,,35644985.2182477,19926293839.0163,,,379567099.620738,213500006.4,660000007.314286,699373631.018922,41978852041.4426,,2120345745.36703,,124482774.155572,357635713.97481,,5502763243.33889,46464003927.0217,4968598034.74467,,3779841409.55267,166521240.026537,479181227.220072,645284474.640857,,,,,7812968114.40012,,,824099968,157411515080.259,64647844330.3286,958598183.028212,4003322843.57581,706080000,9122751.67862188,,,,299175966362.466,514498954117.368,,436043131714.617,,122912941.205436,6340580854.39073,76313782251.6964,,182796536.614163,,,,1382515654.47343,5327573509.09843,,,1143600000,,,194949510.027706,,19617566427.1316,1225408675980.08,,1166425772522.04,387750016,1724850878.1022,,284916516.159537,,,,1954399496.36447,2260349684.08625,,2596553912.33168,50383891898.9911,777727657.006549,60723018683.7333,,,868111401.128863,,2745939978.76158,,1828179056.55771,,,98817201232.511,88187096915.9995,,,,41859983.2727507,191861808,,,,278929522144.521,25247469975.4975,,741509480.796284,,,739286907.013202,183120146.605902,2543810830.68455,,,,,111148586.402234,,15221053213.1887,,,,256971839771.861,,,,,2379611069.94995,,,574091108.031214,14647057370.1418,,6077496267.76294,269283803.686825,531736599.816457,4909399024.98991,621821431851.413,6066976682.67364,1192947642068.39,56273199.1375344,,,4233095505.40624,,504800032,261184037.362676,,3199617471.26866,4399815069.67848,,3668222357.65702,2088899712,,,,125000007.805,,,,,857426088.865341,,12642026.5719722,342721625.556128,751691053.205322,,,3308500692.93224,,203533070.710314,8269859504.96414,,,16138545209.246,1458609619.75309,12541635.1450435,,14524963.493562,33434328313.6319,33436842027.0698,1328359692.93038,103500000,45928020.447163,17511477311.4463,11879982758.5619,1110565862.45336,,,3308912929.93057,,132237468.099102,,619322827.419811,880027760.809103,8919043238.27047,,,449158317.275995,,,80601939635.2483,579748429824,174764376463.536,1709221320.65207,,,9873397859.35133,,36900000,,1502699763826.68,,679279728.55982,1117601631.85456
"1963",751111190.755556,,2703004009.92404,,,,,18272123664.4715,,,21494008287.6022,8374175257.73075,,237742768.508112,,5319458348.62372,109083059.168518,,14260017387.0492,33750090.6078336,253927697.409774,96366652.3069165,,721142960.441744,,38091777.0677901,23021477292.2093,,,394040667.595114,232749998.08,728571435.885714,723624330.677692,44657169109.224,,2258228753.25757,,129379123.792932,371767002.672362,,5482749434.20374,50280424169.1138,4838841457.77778,,6213185773.92265,172233430.691922,511902566.699118,761047198.810423,,,,,8316692385.77386,,,940799872,175531382749.658,69995460036.1298,1038389646.3161,4160465775.86303,746159936,10840095.2882258,,,,335628323395.55,567344431251.468,,480360464378.105,,129461581.515562,6885920328.66187,85551113767.3727,,154480244.361122,,,,1541077733.58831,5949478034.88751,,,1262800000,,,175757891.595894,,23761947889.3535,1319056770295.55,,1255573259349.74,410200000,1975045352.83099,,340061650.119898,,,,1978199396.26694,2430843768.44553,,2992170981.49163,57710743059.8341,826706669.005825,69498131797.3333,,,926589355.287391,,3863726949.3648,,1900970259.42218,,,99160201992.8854,88375045361.4038,,,,47039981.2028235,200229616,,,,296039345516.153,30087935194.2101,,791140595.772755,,,759345862.88991,190820152.770523,2708474919.40261,,,,,113797356.976006,,16936337667.6289,,,,269735835006.121,,,,,2657252502.2073,,,496948970.352531,15891241386.291,,6638937283.13963,297324163.095513,586294879.504551,5165590041.59062,656423043857.531,6510239502.76489,1285582689999.52,59912759.280758,,,4540529028.7576,,559500032,275968039.477545,,3505470788.30224,4875248019.51617,,3905734459.72693,2326999808,,,,128000000.128,,,,,886387334.294254,,13923029.264481,348546926.009245,847568542.080785,,,3481197723.54568,,216147149.952901,9175047802.4509,,,19074913947.7196,1241387713.61345,12833301.0786491,,13708298.8794661,38366530111.5386,38368991255.34,1351362816.2015,110000000,54129460.7698675,18954132365.5148,13063643795.7884,1200447417.83731,,,3540403471.05671,,143255813.500949,,678239308.674915,1026737632.05627,10351885924.563,,,516315650.872311,,,85443766670.4279,611669508096,182989242168.731,1538971681.80418,,,10663375513.5473,,41400000,,1613842202273.85,,704339718.545848,1159511744.56909
"1964",800000045.511111,,2909340114.7226,,,,,25605249381.7597,,,23755179751.3719,9169983885.71185,,266664053.749305,,5386054612.64409,108383060.927864,,15960106680.6732,36194610.8013962,269819005.921698,107566650.637987,,812543073.809663,,41616418.5070928,21211892259.9904,,,410321645.028445,260750008.32,782857128.228571,782384403.805909,48882938810.2204,,2429886845.91949,,142025078.771562,392247517.618274,,5794301526.88849,58613239132.7057,5992169472,,2881545277.14307,185693724.829007,542578822.460723,921063326.096901,,,,,9506678762.77765,,,1025599872,201155695989.557,80475031842.557,1156150862.0479,4781695715.27468,822439936,12712471.2856884,,,,373294533912.328,628289191750.616,,532350219419.32,,140040154.324227,7766655085.78588,94906593388.3107,,215679855.207217,,,,1731576344.53906,6680298250.57961,,,1299099904,,,194774510.467537,,21154846906.1463,1441091386311.67,,1371172531110.76,457000000,2274710596.74153,,434267936.914583,,,,2340239146.98049,2766608945.87402,,3405458501.95569,63175417019.0094,897948941.586558,81749006381.5111,,,998759330.837334,,3358134142.76323,,2071749619.98883,,,110335544642.968,98449301110.6226,,,,51939979.2447843,218929096,,,,324942517664.108,25975164726.5885,,903158753.943622,,,802482183.814987,194740155.908875,2899751387.78472,,,,,151897168.025178,,20070134740.9317,,,,302494056580.931,,,,,2798345225.92842,,,496098771.753086,18699380731.3465,,7274144350.81809,347119918.158577,582816396.020504,5552931029.14443,705902594548.858,7159202706.48027,1405561591905.51,61872522.4348015,,,5130407637.42946,,600800000,305312043.675238,,4241381118.54851,5271360643.25358,,4235608177.67102,2570399744,,,,129999995.01,,,,,939145912.062427,,15393032.3542452,371848127.82171,855382996.461917,,,3825217393.74492,,229531201.852126,10071641671.372,,,21343844643.7341,1321840726.05042,13416632.9458604,,14758296.2404465,37369665563.0975,37369608278.6115,1388342551.37376,120850000,64980587.6337572,21137242560.8543,14480556571.5476,1339494289.3772,,,3889130443.89898,,166104078.39022,,711897538.746389,1025866811.34006,11172953081.8767,,,589247477.588738,,,93387598813.9269,656912089088,206053419851.564,1974511146.05715,,,9113580696.48012,,53800000,,1764480444524.43,,822639671.273187,1217137959.15164
"1965",1006666638.22222,,3136284385.14828,,,,,28344705967.5816,,,25931235300.7056,9994070615.85997,,300392162.479928,,5906636553.5409,114683045.097089,,17371457607.9374,40069931.5396865,289908680.311257,114339048.962736,,908874535.938603,,45788670.6930146,21790035102.382,114040245.655299,,422916789.34088,158994962.962963,868571428.571429,814140009.288232,53909570342.169,,2614400308.53721,,150574795.28224,416926302.962069,,6053790468.24208,69709152023.4307,5790247619.04762,,4043901724.13762,198318063.860835,592981156.226415,919771228.101812,,,,,10678897387.0006,,,888099968,224494798219.463,94497352707.2918,2387048255.45173,5111620994.68964,,64748333.3333333,,,,407338103854.872,683697456121.01,,579735762017.943,,147084750.031482,8589340019.02985,102160571409.274,176534589.603388,226474285.587109,,,,2054023258.07481,7600579093.1158,,,1331399936,,,213235288.136558,,24751949202.0656,1564410584880.85,,1488783691381.29,508650000,2435078534.03141,,523694949.370689,,,6154739684.9637,2558946823.3543,2945704142.99765,,3663345598.02916,67978153850.5191,972159571.205328,90950278257.7778,599759760.096096,,997919319.974061,,3017614366.4651,,2097199074.97924,,,119171905501.13,106708795992.375,,,,54879978.0699607,229260776,,,,363161437064.106,30137265172.8014,,921600736.304026,,,833563473.067604,229460183.705713,3187851274.02843,,,,,172767212.638348,,21829715343.885,,,,337060394813.005,,,,,2948325264.30195,,,735267082.668728,21000586933.2041,159594493.548808,5654463586.00366,564290020.387905,673383510.095222,5874422511.54977,766105907215.132,8058681060.159,1525957129392.3,63279972.0888261,,,5884712000.44842,,659900032,344159480.344943,400129691.088052,5026099956.24545,5784398850.00539,,4687464054.83455,2881999872,,,,148799979.6688,,,,,955834759.718277,,15603032.7956401,359379856.248057,974186784.210551,,,4170041889.16314,,243725900.221596,11002595334.5629,,,24756958694.9238,1698319327.73109,13593932.4279455,,15108295.3612136,41643045882.3803,41585344560.6298,1446869619.31898,138650000,70279971.9161232,23260320646.2745,15346741669.7575,1472036544.33834,,,4388937645.05284,,187300310.187736,,736573167.415824,991047619.047619,11945722171.1131,,,884502338.650021,,,100595782309.165,712081997824,230100362138.561,1889185074.97641,,,9602944667.73034,,66500000,,1924597440666.71,,1061199575.94465,1311435824.75927
"1966",1399999965.86667,,3039859268.24911,,,,,28630474726.3365,,,27247172135.7375,10887682273.1014,,340000006.35783,,6439687605.76616,123608022.665682,,18651883472.4808,44405596.034382,302925235.583459,134173373.782802,,994044552.923342,,51465624.4090769,27062716510.5085,132758395.400497,,433889767.085803,165444571.428571,914285714.285714,853268764.31619,60358632035.1532,,2834716263.34972,,157930018.375448,432794922.657705,,7013580346.15593,75879433528.3157,5452762962.96296,,4532660145.32842,220613582.369827,647305631.396226,1024102881.82116,,,,,11721248101.0874,,,983900032,250932767360.449,103393749074.115,2429309513.80854,5339520809.40076,,69110000,,,,444188663593.22,742761459937.994,,628449691487.732,,150603925.515853,9208524504.87684,110597467198.645,215659455.017302,245849781.7159,44212088.4188291,,,2126860962.26186,8455611129.27936,,,1390700032,,,228705875.937914,,27003383001.2209,1716169540252.79,,1633539217626.32,549950016,2489845016.64894,,628893310.399926,,,6706096864.73927,2772051942.0504,3104034393.23162,,3980013324.88336,73654870011.2757,1096759516.24749,105628070343.111,657999736.800105,,1164519673.19064,,3806043708.69916,,2391198945.30343,,,130710709940.72,116984407440.375,,,,56699977.342689,244459452,,,,396921772071.614,33195993446.6962,,968440149.470951,,,900264582.850373,260400208.476282,3392767687.16149,,,,,180340653.822049,,24337233447.2126,,,,368165865665.908,,,,,2876395613.08171,,,906811947.768912,22867203317.4022,164206537.561675,5863733230.97616,607140010.483016,702296079.776287,6366792664.14672,841253319968.936,8696460205.3397,1675892702922.16,67759970.1128138,,,6466610634.46042,,719000000,390973233.284802,421700441.806492,5947054338.81438,6371486692.83872,,5135387845.97108,3169799936,,,,124525702.707383,,,,,984942841.525214,,16443034.5612196,375479849.80806,1095902965.48506,,,4507658103.15315,,257375899.364358,11995195206.72,,,28721062242.1634,1751470588.23529,14469078.2924055,,16099959.5355017,44958181471.585,44896790072.5883,1484348080.08141,171100000,76859969.2867562,25302033132.3312,16480058704.8531,1342287560.10485,,,5279230813.43612,,216136231.83222,,723739866.336801,1040952380.95238,14119135234.5907,,,925381522.392631,,,107090721447.057,780760514560,252649795071.393,1808775748.3991,,,10096574669.5538,,84100000,,2109981492487.53,,1238999504.8958,1281749476.25315
"1967",1673333418.66667,,3370870461.13558,,,,,24256667554.62,,,30375181991.2644,11579431668.9165,,390196085.727844,,7253575403.21538,137103729.870016,,19992040788.4593,47379308.7867437,306221953.283423,155102984.621576,,1084059817.95356,,58642385.2376744,30591834045.3823,139030445.576898,,450753923.930489,178297142.857143,962857135.542857,934078958.168675,64768831262.1761,,3047396311.71372,,163820513.701425,449826322.90351,,6913560997.04789,72057026115.9338,5727208180.14705,,3384063359.82333,237397428.336429,699456618.264151,1082922725.96955,,,,,12788479692.1939,,,1034800000,272022745164.579,100269728552.545,2553596091.82258,5579168494.04541,,72317446.9327193,,,,482516293780.524,799146689226.398,,675314562375.98,,162625885.863484,9368954010.3132,119466139619.589,220984369.12915,271543680.279285,46695008.7660868,,,1747536190.25115,9136711287.82434,,,1453500032,,,250176463.570974,,26426437412.5191,1840509644694.88,,1751762349631.73,598099984,2692474989.12571,,621225962.154708,,5980840376.72106,7425389720.07921,2795295537.0363,3343636773.36759,,3921085397.89797,81133120065.4202,1148014336.12037,123781880217.6,631679747.328101,,1232559505.9162,,4702747059.38001,,2441598923.07329,,,133850844825.891,119913966957.096,,,,59261976.3189142,261024284,,,,403370765484.295,33629505081.6483,,974721762.535327,,,956436931.54542,269812781.79847,3515850936.49868,,275494477.836101,,,191221777.800889,,26556372081.1925,,,,374241882211.097,,,,,3046339294.53611,,,841974025.374805,25087562181.3218,180036768.87301,5961418093.53003,657140010.7518,665586873.018023,5203135937.28125,889980100134.798,9514496703.39762,1798281104845.14,107151836.815318,,,7403821779.6402,,800700032,441706905.588532,451524124.539071,6029751896.56619,6809047599.74237,,5740241165.63433,3550000128,,,,159560018.07956,,,,,984605218.268285,,16632032.8138977,348795303.000385,1237415176.24223,,,4843088945.99719,25203524.0325638,271781889.251523,13382594741.9151,,,31647119228.1982,1859465020.57613,16742338.5872698,,15835088.4020619,44379514376.7917,44314249956.7256,1607265943.73138,198450000,74759970.1259159,27463409201.8822,17740013179.26,1580229793.0464,,,5638461434.63262,,231706440.015125,,761981451.279267,1085714285.71429,15664673413.0634,,,967240686.567426,,,111185383409.521,825056165888,256150364073.277,1598149806.59667,,,10472776743.7796,,115400000,,2242871296087.77,,1340639464.28047,1397001995.01822
"1968",1373333367.46667,,3852147112.84503,,,,32477913760.2197,26436857248.0056,,,32653152648.6729,12440625312.8685,,444901969.103758,,7483685482.82769,137300000,,21376353113.475,44910180.7948118,326323105.762862,150000000,,908874535.938603,,66248426.9941409,33875881906.0553,160819286.554292,,460442689.71532,183200000,1065714249.14286,1053076992.0168,70759031841.7237,,3031236448.30926,,191767441.663587,453980096.497762,,7074820185.61307,69993499400.1529,5918467519.18157,,3909780525.37375,251247458.012189,773841499.773585,1281281277.85222,,,,,13196541952,,,1079100032,299817170034.215,101269322212.04,2582180794.1855,6109112180.05879,,67514285.7142857,,,,517271822782.168,833469558634.158,,701918669267.208,,166952937.135005,8823033880.32993,129847107787.883,259590076.293001,294468564.534369,41160065.8347022,,,1667105561.89988,9915140546.35072,,,1610499968,,,229750000,,27638193425.0121,1992065935280.15,,1895660801368.68,646800016,2716964388.42418,4684666743.46667,474399471.622359,,7467363478.84782,8447898397.57096,3173340354.31569,3278584478.33023,,3959154191.74836,87942231678.3505,1083839095.57418,146601072685.511,561119775.55209,,1353295457.51798,,5955336766.30649,,2662798825.50768,,,144247930432.814,129589954693.603,,,,61445975.4461882,276820652,,,,426996833321.755,35038119135.7552,,1066447130.82052,,,1031669636.5516,245160098.113071,3667209741.97392,,343771973.18594,,,210695184.327398,,29363632833.6577,,38305708547.448,,396656954293.312,,,,,3271415867.99723,,,772230298.906609,27817605743.2503,215507164.034258,5180597620.64135,692859984.592478,641214226.887484,5200895982.08036,972364838305.723,10159934136.7838,1947317021063.13,188879842.386377,,,8090088418.53273,,861400000,485160819.80065,477012512.686865,5583979280.16697,7591602924.47986,,6354262628.33537,3986899968,,,,172200018.0922,,,,4187777706.66667,1034293671.4302,,16074027.3495878,329860135.024054,1425020122.31295,,,4866751126.37249,28084252.7582748,286719887.890669,14475993856.9928,,,31475548481.4095,1801176470.58824,14600000,,15350000,47471267395.9552,47412578907.9328,1677627804.93288,220600000,79799968.1119327,29143383490.5896,18942729779.1,1753746376.72454,,,6081009421.90366,,241956916.824365,,758899968,1214666666.66667,17500000000,,,1037379286.07101,,,104702736248.084,901455806464,269826766109.674,1593701208.51915,,,11470909285.1354,,173800000,,2418821680729.9,,1573739326.33376,1479599897.7864
"1969",1408888923.02222,,4257253358.44365,,,,35821638735.6588,31256284544.7361,,,36614402508.6796,13582798556.2404,,528137296.150413,,8471006091.86674,154400000,,23710735894.7022,47305390.4372017,330748244.046535,164900000,,964615702.561641,,77361532.9935123,37458898265.2258,161211289.690318,,478298644.747585,190205714.285714,978873268.48925,1152418382.11797,77887510241.7083,,3303911504.14583,,188039209.876317,471635620.771675,,8179771225.72187,78718820945.8759,6405440200.13469,,5032434970.84174,265040036.059116,853630203.169811,1361360291.69501,,,,,15009384584.5333,,,1230499968,345352956575.422,113716232660.972,3112166848.3004,6861743624.86753,,67225714.2857143,,,,571436743766,915161906754.042,,771033739736.254,,182182067.703568,10070766720.5011,140725497222.277,242943776.862299,318124701.048949,45168072.2454283,,,1961756426.6515,11266091570.5718,,,1715399936,,,249300000,,30829701074.9066,2184681678741.54,,2078200613497.64,668000032,3189740055.13982,5205833591.46667,414709311.35296,,8798957442.35583,9482344576.42244,3304396435.80592,3787077343.72783,,4568013077.69884,97085082807.3751,1191239555.57681,172204199480.889,698879720.448112,,1458379415.39403,,7475692343.91841,,2769198778.57739,,,161567723970.994,144683619773.326,,,,65967973.6391977,306961824,,,,478485029100.987,39203881239.6927,,1234878980.502,,,1056391054.93489,265800106.373203,4050763016.35468,,339913866.756618,,,199643443.874909,,32515754313.9653,,42655563851.7258,,444538155826.988,,,,,3651615453.01848,,,788641968.987654,31503868835.1853,263108834.536684,5761588761.69421,750000002.903011,625867984.443567,6634187316.25367,1051437581185.71,11063065083.4888,2135586815260.19,239999799.728561,,,8632927108.67199,,945400000,551237325.568373,512728946.180694,6250645606.84668,8408265263.7862,,6969025825.62869,4460700160,,,,188700037.3087,,,,4485777635.55556,983621120.991373,,16452027.9927472,408690163.296065,1659044470.85042,,,5318525870.11918,28606411.398041,300230021.488119,16315592942.6891,,,36038711599.541,1965546218.48739,15850000,,16650000,54421747313.3001,54365964314.7867,1847501441.26221,233450000,105419957.874185,31649203885.888,20524886616.4789,2245011583.18701,,,6695336559.7804,,267732472.640112,,779200000,1289904761.90476,19466666666.6667,,,1168556666.77932,,,112676874821.987,973385170944,301777942180.572,2004342741.93548,,,11927570676.9238,,211300000,,2662088861338.96,,1926399230.21087,1747998819.40252
