"Year","Argentina","Australia","Austria","Barbados","Belgium","Brazil","Bulgaria","Canada","Chile","Colombia","Cyprus","Czech Rep.","Denmark","Estonia","Finland","France","Germany","Greece","Hong Kong, China","Hungary","Iceland","Ireland","Italy","Jamaica","Japan","Korea, Rep.","Latvia","Lithuania","Luxembourg","Malta","Mexico","Netherlands","New Zealand","Norway","Peru","Poland","Portugal","Romania","Saint Lucia","Singapore","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","Taiwan","Trinidad and Tobago","Turkey","United Kingdom","United States","USSR","Venezuela","West Germany"
"1980",11.6599998474121,18.2600002288818,17.2399997711182,,21.7399997711182,7.63000011444092,,19.7099990844727,10.7600002288818,6,,,18.6700000762939,,14.210000038147,19.7800006866455,,12.8500003814697,10.0699996948242,6.88000011444092,16.3700008392334,12.960000038147,20.1499996185303,,13.3599996566772,4.51000022888184,,,19.9899997711182,,9.98999977111816,20.8500003814697,13.8800001144409,20.0100002288818,,,10.5100002288818,,,8.5600004196167,,,14.0900001525879,19.2399997711182,21.1800003051758,6.19999980926514,,5.78000020980835,16.3500003814697,22.8700008392334,7.38000011444092,16.0699996948242,20.0900001525879
"1981",10.6700000762939,18.5799999237061,17.1900005340576,,22.1700000762939,7.07999992370606,,20.0300006866455,11.2200002670288,6.03999996185303,,,19.1299991607666,,14.2600002288818,20.3500003814697,,12.2700004577637,10.289999961853,6.96999979019165,16.3500003814697,13.6300001144409,20.3400001525879,,13.7700004577637,4.69999980926514,,,20.3199996948242,,10.5100002288818,20.8400001525879,14.6099996566772,20.0599994659424,,,10.8000001907349,,,8.77999973297119,,,14.789999961853,19.3099994659424,21.25,6.82000017166138,,6.01000022888184,16.9599990844727,23.3999996185303,7.40999984741211,16.2399997711182,20.3999996185303
"1982",10,18.6700000762939,17.8299999237061,,22.9799995422363,6.80999994277954,,20.1800003051758,9.68000030517578,6.13000011444092,,,19.5200004577637,,14.6700000762939,21.7999992370605,,12.4700002670288,10.5500001907349,7.57000017166138,16.25,14.0500001907349,20.4699993133545,,14.0600004196167,4.73000001907349,,,20.4699993133545,,10.0900001525879,20.9400005340576,14.75,20.25,,,11.1199998855591,,,8.88000011444092,,,15.3699998855591,19.3600006103516,20.9699993133545,7,,6.26999998092651,17.6599998474121,23.2999992370605,7.55000019073486,15.6000003814697,20.6299991607666
"1983",10.3699998855591,19.1700000762939,18.5799999237061,,23.2000007629395,6.59000015258789,,20.5499992370605,9.01000022888184,6.30000019073486,,,20.0599994659424,,15.1599998474121,22.2800006866455,,12.4300003051758,11.0900001525879,7.61999988555908,15.7600002288818,14.210000038147,20.7900009155273,,14.210000038147,5.28000020980835,,,21.3500003814697,,9.60999965667725,22.0599994659424,15.3400001525879,21.0900001525879,,,10.6899995803833,,,9.39999961853027,,,16.1000003814697,19.5300006866455,21.25,7.51999998092651,,6.46000003814697,18.4599990844727,23.8500003814697,7.76999998092651,15.2200002670288,21.2600002288818
"1984",10.4300003051758,19.7199993133545,18.7299995422363,,23.5100002288818,6.67999982833862,,21.2000007629395,9.13000011444092,6.57000017166138,,,20.6900005340576,,15.6000003814697,22.6499996185303,,13.1599998474121,11.8400001525879,8.13000011444092,16.1900005340576,15.1700000762939,21.9599990844727,,14.5900001525879,5.80000019073486,,,22.7600002288818,,9.55000019073486,22.8500003814697,15.8400001525879,22.2399997711182,,,10.710000038147,,,10.0500001907349,,,17.2199993133545,20.1299991607666,21.9099998474121,8.17000007629394,,6.96000003814697,18.6499996185303,24.3600006103516,7.84000015258789,15.6800003051758,22.1299991607666
"1985",9.65999984741211,20.2000007629395,19.25,,23.5300006866455,6.6399998664856,,21.6000003814697,8.39999961853027,6.86999988555908,,,21.2700004577637,,16.1000003814697,23.4400005340576,,13.25,11.7799997329712,8.05000019073486,16.1499996185303,15.6700000762939,22.1599998474121,,15.2299995422363,5.96000003814697,,,23.2900009155273,,9.35000038146973,23.1800003051758,15.5299997329712,22.8600006103516,,,11.1400003433228,,3.42000007629394,10.1700000762939,,,17.8999996185303,20.25,22.2999992370605,8.64000034332275,,7.09000015258789,18.9799995422363,24.7399997711182,7.8899998664856,15.1199998855591,22.7199993133545
"1986",10.5200004577637,19.9899997711182,19.5100002288818,,23.9200000762939,7.19999980926514,,21.5,8.47000026702881,7.1399998664856,,,21.4799995422363,,16.7199993133545,24.0200004577637,,13.5200004577637,12.6800003051758,8.23999977111816,16.7299995422363,15.4499998092651,22.6599998474121,4.65000009536743,15.5200004577637,6.55999994277954,,,24.7000007629395,,8.71000003814697,23.7099990844727,15.9499998092651,22.9899997711182,,,11.6700000762939,,3.88000011444092,10.5500001907349,,,18.2999992370605,20.6200008392334,22.2700004577637,9.32999992370606,,7.51999998092651,19.8099994659424,25.2999992370605,8.1899995803833,14.7700004577637,23.2000007629395
"1987",10.4300003051758,20.3500003814697,19.8299999237061,,24.4699993133545,7.26000022888184,,21.8099994659424,8.6899995803833,7.32000017166138,11.9300003051758,,21.9200000762939,,17.2600002288818,24.3799991607666,,13.7600002288818,14.0299997329712,8.22000026702881,17.1800003051758,16.1800003051758,23.3799991607666,4.78999996185303,16.0100002288818,6.75,,,24.6200008392334,10.7600002288818,8.56999969482422,24.0100002288818,15.8699998855591,23.4099998474121,,,12,,3.90000009536743,11.1000003814697,,,18.5499992370605,20.9599990844727,21.8999996185303,9.64000034332275,,8.15999984741211,20.4099998474121,25.5,8.27999973297119,14.460000038147,23.6900005340576
"1988",10.1499996185303,20.2700004577637,20.4400005340576,,25.2199993133545,7.07000017166138,,21.8199996948242,8.94999980926514,7.51000022888184,13,,22.6100006103516,,17.8400001525879,25.0900001525879,,14.1899995803833,14.9200000762939,8.44999980926514,17.5799999237061,17.0400009155273,23.7900009155273,4.73000001907349,16.7600002288818,7.23999977111816,,,26.0499992370605,11.4200000762939,8.38000011444092,24.5599994659424,16.3799991607666,23.4899997711182,,,12.6000003814697,,4.38000011444092,11.7600002288818,,,18.8899993896484,20.8799991607666,22.0200004577637,9.76000022888184,,8.39000034332275,20.5900001525879,25.7999992370605,8.4399995803833,14.1999998092651,24.4599990844727
"1989",9.43000030517578,20.3500003814697,21.1499996185303,,25.9099998474121,7.17000007629394,8.02000045776367,21.5499992370605,9.53999996185303,7.73000001907349,13.6000003814697,8.46000003814697,23.0200004577637,12.2200002670288,18.7199993133545,25.7900009155273,21.6399993896484,14.4399995803833,15.3900003433228,8.42000007629394,17.9500007629395,17.9799995422363,24.3500003814697,4.84999990463257,17.4099998474121,7.55000019073486,9.30000019073486,11.3999996185303,27.7399997711182,12.210000038147,8.40999984741211,25.1599998474121,17.1399993896484,24.4599990844727,,6.32000017166138,12.7799997329712,3.63000011444092,4.69000005722046,12.3100004196167,8.51000022888184,12.6800003051758,19.3400001525879,21.0799999237061,22.5699996948242,9.88000011444092,,8.14000034332275,20.5499992370605,25.9799995422363,8.5600004196167,13.9099998474121,25.3500003814697
