"Year","Afghanistan","Albania","Algeria","Andorra","Angola","Antigua and Barbuda","Arab World","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas, The","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia","Bosnia and Herzegovina","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cambodia","Cameroon","Canada","Cape Verde","Caribbean small states","Cayman Islands","Central African Republic","Chad","Channel Islands","Chile","China","Colombia","Comoros","Congo, Dem. Rep.","Congo, Rep.","Costa Rica","Cote d'Ivoire","Croatia","Cuba","Cyprus","Czech Republic","Denmark","Djibouti","Dominica","Dominican Republic","East Asia & Pacific (all income levels)","East Asia & Pacific (developing only)","Ecuador","Egypt, Arab Rep.","El Salvador","Equatorial Guinea","Eritrea","Estonia","Ethiopia","Euro area","Europe & Central Asia (all income levels)","Europe & Central Asia (developing only)","European Union","Fiji","Finland","France","French Polynesia","Gabon","Gambia, The","Georgia","Germany","Ghana","Greece","Greenland","Grenada","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Heavily indebted poor countries (HIPC)","High income","High income: nonOECD","High income: OECD","Honduras","Hong Kong SAR, China","Hungary","Iceland","India","Indonesia","Iran, Islamic Rep.","Iraq","Ireland","Isle of Man","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea, Rep.","Kosovo","Kuwait","Kyrgyz Republic","Lao PDR","Latin America & Caribbean (all income levels)","Latin America & Caribbean (developing only)","Latvia","Least developed countries: UN classification","Lebanon","Lesotho","Liberia","Libya","Liechtenstein","Lithuania","Low & middle income","Low income","Lower middle income","Luxembourg","Macao SAR, China","Macedonia, FYR","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Mauritania","Mauritius","Mexico","Micronesia, Fed. Sts.","Middle East & North Africa (all income levels)","Middle East & North Africa (developing only)","Middle income","Moldova","Monaco","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Nepal","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","North America","Norway","OECD members","Oman","Other small states","Pacific island small states","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Qatar","Romania","Russian Federation","Rwanda","Samoa","San Marino","Sao Tome and Principe","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Slovak Republic","Slovenia","Small states","Solomon Islands","Somalia","South Africa","South Asia","South Sudan","Spain","Sri Lanka","St. Kitts and Nevis","St. Lucia","St. Vincent and the Grenadines","Sub-Saharan Africa (all income levels)","Sub-Saharan Africa (developing only)","Sudan","Suriname","Swaziland","Sweden","Switzerland","Syrian Arab Republic","Tajikistan","Tanzania","Thailand","Timor-Leste","Togo","Tonga","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United States","Upper middle income","Uruguay","Uzbekistan","Vanuatu","Venezuela, RB","Vietnam","Virgin Islands (U.S.)","West Bank and Gaza","World","Yemen, Rep.","Zambia","Zimbabwe"
"1961",,,-13.6054413891643,,,,,5.42784287219094,,,2.4849119741457,5.53797931684518,,10.6670987860194,,6.05816081799762,7.69652979830472,,4.97842306319198,4.89227699287886,3.14128044248996,4.68000000000002,,2.07998366981974,,6.3432796382838,10.2759115752691,,,4.04392797494329,-13.7461350621616,,1.18368081195533,3.16329168371274,,,,4.95345274209991,1.39774366461414,,4.04993094677997,-27.1018817594838,5.2653723815047,,-10.8513760834642,8.35072668601104,-0.955940459261001,9.93255516105363,,,,,6.37883247557376,,,-2.31324851184989,6.72727446514855,-12.9893486683196,1.54307932205204,4.40037038954557,3.52857023320038,,,,,6.67760210552484,5.37566974188846,,5.46694177683287,3.51758367066391,7.60467047924409,5.5062724371172,,14.7668431861657,,,,3.42967561638147,11.1495373965286,,,4.29851846248654,,,4.68952426804728,,1.15667673956739,4.64751744309599,,4.6300389641587,1.85565948345987,,4.69999999999999,-0.0846619462925418,3.72274254047143,6.10491536973983,,,,,11.2038858397147,8.20724591384783,,12.0435364080116,,,-7.77463492620069,,4.93634193133217,,,,,6.3453833414389,6.35554312243416,,,,1.86480412968575,2.43998713305496,,,,1.68873217335641,,3.7304322018596,3.82998312174054,,,2.04863273182596,7.63959784999908,7.59799383631663,,,,,15.5299132104677,,5.00292074804305,,,,1.72827006454162,,,,,-2.42523433402411,,0.471561084036125,,1.90826604309589,0.295546672717364,,,7.40021191816078,4.54639303500275,0.191795489499171,2.3668797208333,6.27333551040718,4.60365952145645,1.139606403961,,,5.98734641658503,,10.7513577726077,6.18111401234778,6.90028551419455,7.35005259494483,5.61657931560127,,5.53490347567526,9.53977743963867,,,,-4.29752606591146,,,,,2.99344825686421,,-4.88227650916816,1.80904354919763,13.8203851642926,,,,,-3.26198120234096,3.84540353057315,4.11067365978694,,11.8386741948325,4.22616182229105,,,4.52729590637024,2.10643721227726,2.10643721227726,0.0223897971235232,,,5.6815373442636,,10.8330638599408,,,5.36213346974186,,12.1693174096589,,14.037070992244,,1.15606936416184,,,,,,2.57356996313496,2.3,1.01124345785209,2.49303793895228,,,3.1925193475513,,,,4.26440658878273,,1.3613819168137,6.31615933652567
"1962",,,-19.6850417739045,,,,,-0.852021492428719,,,1.38055470489402,2.64867511295262,,10.4519708602618,,5.45303098397545,9.06075859876711,,5.21200350925604,4.89265857509351,-3.4264098046341,4.46999999999937,,5.57022468401642,,6.66666875358423,5.21605938541778,,,6.12879878369803,9.06315793323473,,3.04155905566226,7.11677926679144,,,,-3.71364012897935,5.36011611958327,,5.19307954226929,-6.10533866907195,5.46650028239092,,21.2006975139425,5.20230880834241,8.14832002733445,1.22699448684051,,,,,5.66682217271807,,,17.0472407234233,6.47327314359667,-0.733740916042962,4.55888374031184,6.85666204631463,11.9528021952368,,,,,6.39935931129834,4.87715817472751,,4.9075767771343,3.60610188356134,2.98194553610334,6.67217462633576,,7.44921160604646,,,,4.10915737637639,1.53351890576275,,,3.53650145914072,,,1.10492586210773,,6.06280181996407,5.81967971078686,,5.82405482090876,5.76484621473084,,6.09999999999999,8.31371274423506,2.93112772548554,1.90966022521391,,,,,10.156117136531,6.20365045787119,,8.90897299558067,,,9.4573587055297,,2.45836065945421,,,,,4.84246542702522,4.86575373366853,,,,15.3318057040768,1.34460014989321,,,,3.83382530980884,,4.20607309784819,1.35867767094864,,,2.27106972522688,0.668364775301541,6.42102985115778,,,,,0.726608464376241,,4.66441466800227,,,,3.69391714535739,,,,,12.5179841596447,,4.08687253267284,,1.91031994982393,6.84350732102806,,,11.6953489843483,10.2787134956932,4.10299258983524,6.17779507405325,2.81394513844522,5.80062078927102,20.1877918765274,,,4.48285862917626,,8.36480755400879,6.37410114404577,3.30025851773104,8.34019223547288,4.77312184891461,,6.61444776877345,7.52950120557479,,,,11.3337983856043,,,,,-0.136235361543541,,8.40857861589495,4.54096706303724,-0.0406502891465692,,,,,7.07665543416884,6.17727083378227,3.3094214944267,,9.95343810301819,3.81801958090126,,,3.69427198592651,5.72351379726427,5.72351379726427,6.9158433020462,,,4.25877299399171,,24.5212971759886,,,7.55424860395541,,3.77365280903435,,2.74246334611756,4.81090931010422,5.57142857142858,,,,,,1.32799317852378,6.09999999999999,3.5065289361677,-1.57454887358077,,,8.53293339907609,,,,5.56854699092229,,-2.4908396477509,1.43446955190937
"1963",,,34.3137288532046,,,,,-5.30819682945132,,,6.27648196980954,4.13826758157035,,10.5240582511877,,-0.45589429795973,-5.07842107458586,,4.35158428167072,4.95642317084032,4.73002793837696,1.07000000000015,,6.42070122102028,,5.92104819087204,0.874672608648282,,,-1.26801636599573,4.13540741523573,,3.742550318873,5.18177608227346,,,,-0.707243873739799,-1.59945402355422,,6.11656483531904,10.3420125352397,2.90411467785327,,5.21399013459374,-4.02930041832285,4.78471155731934,14.4903558649119,,,,,0.637021234202464,,,6.50290285533461,8.04108484926648,6.5798174621428,3.87565819916512,9.05553259631115,4.30544340708575,,,,,5.76276391316368,5.17657762522433,,5.1092941694675,6.35877258847113,3.28509963570333,5.34717376737865,,6.09243526146753,,,,4.40597436493573,10.1360552608132,,,9.54104385380307,,,-12.2786573029877,,3.38479499549425,5.25041941892704,,5.2364728656942,3.58043658636949,,5.69999999999999,10.2833828720508,5.9943532629845,-2.25303656338677,,,,,10.6957130041973,5.60972797819825,,8.47364238279398,,,8.77834025444979,,9.53172102541855,,3.70465491055998,,,3.29904387557909,3.02261767083189,,,,10.6150783444787,2.27445718305523,,,,5.18615179964603,,5.16172400499568,3.43910854038502,,,-0.929401655708915,-1.39107846904358,7.33880330174175,,,,,-1.98376762649185,,8.10688692997397,,,,5.30896529947439,,,,,4.86360426272879,,13.3492949246148,,1.89511165162519,3.62462153047373,,,9.94317818653509,9.4282293247488,8.57861892044698,4.45961612113383,3.78504308366061,5.32729860319773,4.53124355891445,,,8.688831515348,,8.42261704425891,4.07251765529446,4.71029133746063,3.72054641668902,7.06048742587262,,5.87370211616305,10.3996155598683,,,,-9.82044442625852,,,,,1.86447856741918,,10.135607443607,1.69971517214962,8.90606182878261,,,,,2.80880257009393,7.37356395225335,5.4206342565643,,9.59649887419806,2.51674856606093,,,-6.26535839013445,6.20998922850353,6.20998922850353,-2.84697319080678,,,5.32789781057994,,-8.65274662934306,,,7.99983096086368,,4.99969427541605,,5.60459703235303,12.0247284273269,9.06630581867387,,,,,,3.95624116673766,4.40000000000001,5.36320221067722,0.17045885243256,,,3.90095146830775,,,,5.2424256347481,,3.27239304701985,6.24434385290915
"1964",,,5.83941293463795,,,,,10.1302976338977,,,7.02428232329828,6.12435373762845,,10.5015661265557,,10.9527885492042,5.00487574733846,,6.95668473344035,4.99986589996138,6.6507591266183,11.1100000000005,,4.79455973062788,,6.83229714711887,3.48558230073068,,,2.28281923165264,6.27303792100098,,3.5471596936753,6.69945668193704,,,,2.080361135727,-2.51093959993021,,2.66787166629818,15.8369577712167,6.60234159495627,,-2.44022356369061,3.81679625791126,4.14905211969472,17.6130878333679,,,,,9.26993821451786,,,6.76486509471543,10.6954177693587,9.7547238262549,7.81188915806059,8.14230648675638,9.32648907064271,,,,,5.49035703295824,5.53029783815042,,5.53974502030334,4.87727729860102,5.23868659789339,6.51833830272173,,4.55445365571106,,,,2.20932842901469,8.25834025172418,,,4.63299225848783,,,11.3602824359528,,4.28057119503036,6.43989540142074,,6.43394986208503,5.41664556857948,,4.69999999999999,9.91654401442985,7.45295012421494,3.45146579591584,,,,,7.93719196941495,2.79770227911507,,11.6767081963977,,,4.96446726597797,,7.56123911541052,,8.69120533503589,,,7.85992532706831,8.19338876257594,,,,8.25111746172698,5.15196209256112,,,,7.61593951200885,,6.15019898979456,7.86582881901592,,,3.96251885617535,2.66110322180107,5.35896322935049,,,,,27.6908862931435,,11.9054807647557,,,,7.73194264351902,,,,,1.28636322779793,,-5.89401884315839,,7.53244856333552,8.27490393060476,,,11.1111358664548,0.13103989014391,4.95048865853774,5.87226456913641,5.00965098662387,6.52418027297139,0.0747394471301845,,,7.56975745107236,,4.53002497415345,8.57028595084837,4.21247735842014,6.60028170535463,3.44698214572344,,6.3107473825748,7.11062636403857,,,,-12.4649926743393,,,,,3.88392710047056,,5.91924210370016,6.6852387933864,0.560117861812245,,,,,-6.11062333034268,7.93984128065613,7.70544550408945,,5.30851024557086,3.90648904934619,,,3.66972719947434,5.9020770074281,5.9020770074281,-1.12044833835996,,,6.82145671417373,,9.27136373586606,,,6.83102465182853,,14.2860112809653,,7.63050005849884,4.90532016482246,5.4590570719603,,,,,,5.03828244878248,5.80000000000001,8.31347001116092,2.44052077784444,,,11.1293448979255,,,,6.58609680282754,,12.2140479747059,-1.10617189130842
"1965",,,6.20689830582755,,,,,10.5694333495945,,,5.98545804293681,3.4801749179956,,10.4255963610536,,1.60625822901184,11.4348434975811,,3.5606598398608,4.93053399446993,5.29386282534018,4.75999999999954,,5.62501856960085,,5.81395647011556,3.05348790464363,,,3.76454536777855,3.96722560975601,,2.02605371664022,6.63654513889809,,,,0.947568971755388,0.606227780689437,,0.417175015514886,16.3630177449027,3.01248719732325,,0.997348792203326,3.67646775178785,9.82961728666072,-3.1096542765351,,,,,4.55525481407118,,,-12.4818339763458,6.40743584213321,10.3573832823606,4.71797343862733,9.22508401459112,5.36846066806049,,,,,4.9499254099529,4.60601387152258,,4.632165834612,-2.70026700711855,5.30285780228274,4.77803517697653,,8.33333565825727,,,,1.36899765891086,9.39266084981334,,,4.3617694315609,,,10.5410186939692,,4.42962013258203,5.52049818002962,,5.50338971129811,9.03712947089073,,42.4104142671801,7.37172929870695,-2.63577010551735,0.947080215382414,,,,,9.09396567949379,3.2680237196419,,5.8197078729815,,,2.00909415842226,,5.19013986950256,,0.497536761270354,,,5.21731847834992,5.38643261476814,,,,2.15410167022303,4.79379556662343,,,,5.90570464198422,,1.6779945972462,-0.734933604480958,,,-0.452253835105438,13.6164934391474,7.68486337502183,,,,,16.1383304295256,,6.56626028506496,,,,6.03964306625922,,,,,1.90722257077196,,10.6926495108132,,-1.20318896778183,8.64309493575033,,,9.0038611199937,6.91976181457932,4.88497683781519,6.41807621039983,5.28560880055234,5.61041311490587,0.448098407179273,,,10.4193658262841,,9.1343991521619,10.2685159094204,6.16797475923975,4.93924288975538,5.26581046450852,,7.46898852994384,9.08042679502607,,,,7.00952925116371,,,,,1.33218949023879,,-1.0605617902177,7.1801557886489,13.7120865707228,,,,,-5.94368149253904,8.89603061561321,-1.01768444944594,,6.25313489898542,2.53696419494796,,,0.884954382562157,6.46834800270292,6.46834800270292,6.77707327502306,,,3.82145314801198,,2.29937387809859,,,8.1816530719299,,15.4597127048654,,0.693850366391018,2.60271510513559,2.8235294117645,,,,,,2.78897682833284,6.40000000000001,7.61117445950403,1.04560403824453,,,4.16286684208175,,,,5.56884829721913,,16.6474556801288,4.91057173036387
"1966",,,-4.80497093103762,,,,,-0.659726174863422,,,2.33441690369769,5.64286141093264,,9.07192806679514,,2.56681200027806,4.00337126000842,,3.1558949817337,4.77087331556876,3.57586275473881,14.3636363636369,,6.4972957894456,,6.34401567564133,4.15036021932218,,,0.537613083922324,4.61299288235513,,4.6149556173599,6.58496540750694,,,,0.644999279352177,-1.80709238666587,,10.001606064883,10.7,5.32236812954234,,6.77548530319302,1.35898246676351,7.87070808703308,11.5773596879287,,,,,2.74091010903209,,,13.4633447527658,9.31590355591052,8.19811321645912,-0.339525639357717,1.05664602151563,7.16113760715204,,,,,5.26647355695896,4.42208939431225,,4.25772488814448,0,2.37282301528185,5.21400805193709,9.57657823321398,4.50800457013843,,7.53563098759018,,-4.25828921831193,6.09884653317371,,,5.51210389610372,,,5.23327390392066,,2.85340418576297,6.05729948747327,,6.05851398662078,5.37384210615257,1.79458746245193,7.4000000000002,8.7359334760702,-0.0553287662036155,2.85042825930304,10.4270188357932,,,,-0.0796448940796495,5.98479422519699,,10.6385615591639,,,14.7285664314782,,12.6999998764968,,12.3155609744538,,,4.47262078698016,4.18706878616064,4.14835816566359,,,-0.405518601819139,7.70265605915637,,,,4.53100766294867,,1.08719600120249,1.10590411235911,,,2.0645523883524,13.249036350402,7.81671103187148,,,,,0.230962092718642,,6.09613930067501,,,2.77812780134687,4.53790908637832,,,,,-1.48924255360113,,-4.85177870393807,,7.04064308884116,2.74110433455408,-3.84857770117728,,3.30113639774522,-0.382497196220314,-4.25051418780393,6.50951589765781,3.78651325489719,6.11276076392568,5.20446096654274,,,5.78995179549548,,7.51930536422465,5.81375825672465,1.99150333312834,8.39487936976846,4.42599417757357,,4.07790943398123,7.06044577065765,,,,7.00891082895821,,,,,2.87676098022953,,2.10265924551632,1.69999999999986,10.8624080252778,,,,,9.09865470772144,4.43844496573153,0.950615631875351,,7.24606030950727,5.02379806238631,,,0,2.48949670304872,2.48949670304872,-3.5751460182812,,,2.09083647876724,,-7.65906551474498,,,11.1225226973755,,9.40871909862607,,4.0568214191852,3.45486771031149,11.2128146453092,,,,,,2.04931117754354,6.5,5.68664771141157,3.06285595216951,,,1.51025022216508,,,,5.86014727136181,,-5.57030949119994,1.52312925128079
"1967",,,9.45296243798998,,,,,3.19199662528655,,,6.31671596947858,3.0080477977549,,9.59811615948738,,-1.87586392708218,10.6361361426256,,3.86814694690104,4.91312455521246,1.07839867828238,13.2750397456277,,6.90886779316999,,5.92456306722109,4.9152656882159,,,8.82331498726521,13.8215185985971,,-10.9120655868355,2.91531036036213,,,,4.67651462091024,0.767201385241933,,3.64078331944866,-5.69999999999996,4.19063544677752,,-0.985738662510755,2.11627205348542,5.65012592108944,4.59815178276597,,,,,3.42160509181359,,,3.32754229152418,8.92346281214802,-1.03931069185121,4.62107394070436,0.62593495746799,5.43684724121832,,,,,5.25184411541993,4.46811459381486,,4.42280924348275,13.3518311378506,2.16882888287391,4.68815882065192,-4.73916661508066,4.11515284822326,0,6.24999945107645,,3.07536328673336,5.48143716600462,,,4.11217558459371,,,4.31362187834503,,2.34032096741473,4.45644970591788,,4.43431330446906,5.97754288236156,1.60368447542419,7.49999999999986,-1.26726186273849,7.82596301172471,1.12499692061152,10.6270552138459,,,,2.99502009847711,7.17861246556184,1.80863852761067,11.0821423246931,,,3.36123205514775,,6.10003812437299,,2.38054123592926,,,4.62493526345042,4.72730309710758,11.7126455331412,,,10.9120599108553,6.74578571217998,,,,4.11209941900385,,3.69869364906124,0.216730811573157,,,5.52856559290376,7.28154988988996,3.85714647803201,,,,,3.56713293309276,,5.8549248778848,,,8.22585596402725,4.22354407012612,,,,,10.0288412932969,,-5.92525888338244,,-1.57149745459931,5.28001474697717,5.40079144250699,,6.96951382512579,0.122868670935432,-15.7436282056341,2.53698215359101,6.25607900635556,4.47872401161217,66.2190812720848,,,5.40061259605193,,8.56588064746833,4.07046373561658,9.15036720420407,3.77470350471283,5.32415018573799,,7.54448252895017,6.28139203941242,,,,6.91601750930879,,,,,-1.21979286536271,,0.50474459923268,0.0362815524202631,12.2715404699739,,,,,5.94094361661391,7.19649710993249,6.4531243097734,,4.34033841707546,6.43901505336703,,,-9.52381573337692,1.71793122294737,1.71793122294737,1.42408039969759,,,3.36549793942818,,8.25768270093943,,,8.61598771556586,,5.50037154367216,,2.04251418563395,0.161951732728483,4.73251028806597,,,,,,2.31096510055472,2.49999999999999,4.39066234759409,-3.65683410196365,,,2.83386913600197,,,,4.41252409791073,,7.9196961017671,8.36700969423059
"1968",,,10.7962385652319,,,,,4.82250079191368,,,5.12847645843189,4.47231278246085,,8.42176423035137,,9.48945402152039,6.92182131752112,,4.19412962494754,7.36721823757114,3.84233561177815,2.10526315789458,,-12.1690278774982,,10.5670569690892,11.4272823901685,,,3.07077392721436,-0.297883667826198,,6.34632385098581,5.29534186352818,,,,1.40419674702991,-0.457218864873155,,3.75167907596916,-4.09999999999995,6.42744433639513,,4.332698464891,7.63132624540552,8.38501776767393,12.5482486420678,,,,,3.97494770207744,,,0.238860413293239,10.7678901051472,2.02039091194233,1.90943839921289,2.72141653052613,3.23669294726537,,,,,5.52398614454226,4.98799205794032,,5.01882758243049,7.91622130255712,2.30328998355671,4.25902468977266,14.9308021381053,2.50880088353969,9.57614161195308,4.45633538253769,,0.368860808125703,6.66410925198275,,,8.76603514441257,,,1.02482751890589,,3.21015022595009,6.04343032816455,,6.02727869298857,6.59818313384145,3.39763990581339,4.89999999999998,-5.47490634604669,3.38792918433964,12.0341784547327,12.5020142046261,,,,16.2419570079005,6.54455465470545,5.74413220944459,12.8824681383231,,,7.98268996255243,,11.6998106179007,,9.35545628681307,,,7.73156400758872,8.08114524966817,6.87303589471679,,,-0.367117904249753,4.76887387695008,,,,6.23417048330579,5.6481190482443,4.50438790749492,4.18387242679037,,,6.82878610878763,-1.92307915660381,7.97799471603247,,3.70841019802488,,,10.196442523761,,9.42327881868152,,,10.0580903032963,6.2550538061079,,,,,9.8917393017193,,12.0593401843222,,0.675483433496552,6.41613403990107,14.2625546890163,,1.34296005345777,0.383494660057622,-1.24836024611898,4.83820938089501,2.25987552819258,6.09981916426896,81.8877959183673,,,7.23322092786647,,6.92892572349177,4.35958888421359,4.52707384133248,0.354541415100812,4.94541807397431,,8.87550923376676,4.75074747679076,,,,7.01378091869972,,,,,6.29077353215311,,7.55323423061513,2.01992383280252,13.5939996449494,,,,,2.02997732483614,4.15336446106413,4.35192493231497,,6.59702013758306,5.80110483527551,,,6.50969786246414,3.56799453153531,3.56799453153531,1.96322197145298,,,3.63825233423614,,3.72908021598828,,,8.12226379831806,,5.02369186203302,,5.21514863360377,10.4097283144872,6.77799607072652,,,,,,3.98473799467681,4.80000000000001,6.80879050208682,1.88891173546364,,,7.33723260866334,,,,6.06771455242719,,1.24833049339151,1.97013358632043
"1969",,,8.43328031598072,,,,,9.67952599141772,,,7.06195119929423,6.27586716606925,,8.98166105054506,,1.22085790733759,7.51840479433301,,6.62979979529436,5.10638394815068,2.8774979907388,3.43642611683843,,3.0960131437861,,15.1234019790734,9.73582686182293,,,2.02608104068358,-1.45954114176941,,4.90147952651529,5.26000082594571,,,,7.09140650691565,6.88131022284541,,3.47131724762997,16.9,6.52093506685227,,9.32883743834134,7.54852521033955,5.57772980898466,9.5392187700341,,,,,6.32248500839425,,,10.8914459900281,11.9313486142467,12.6825620498117,4.66923798032512,6.81255026556502,3.48541793490264,,,,,6.95364070253962,5.60212825056799,,5.67392864676803,2.59641566295095,9.59328778480042,6.9905305339293,-2.68594101286762,8.0829104354267,2.4355250206163,4.77815002839364,,6.00617415013581,9.89973017189708,,,4.73690909090905,,,6.99438663967665,,4.20529908516825,5.691165646785,,5.65463210009207,0.655438849281211,11.3437988108207,6.90000000000009,2.37458802719091,6.53970029535331,7.47738592890303,12.906373811762,,,,13.5657034019831,6.09805999558593,5.57467386165216,12.4778945144976,,,7.95922446532083,,14.1000724844126,,2.73541825633197,,,5.97860259677441,6.00938248017897,4.56895999999993,,,1.54753617203536,7.28846513020613,,,,7.17246769119191,4.50492757701785,7.36973777716987,9.97285794333065,,,3.72122216039261,5.88235990710129,26.9117401494837,,0.230999423242295,,,1.24853211546842,,3.41862002602164,,9.80245418110302,10.3834095502829,7.26697970144757,,,,,8.36216535148107,,3.2917411229889,,4.46342158620341,6.42944907759073,15.7163133836032,,6.23770390741005,-5.48594581342786,24.1973839490627,3.27246002955046,4.50461145559136,5.59683327265297,25.666170958503,,,5.50789963296876,,8.52842809364543,8.27345905099656,4.70115140831635,3.7946526738281,4.65635858454792,,2.12074116169649,8.85460878005976,,,,11.0073701531015,,,,6.03789305335656,-6.55414291977225,,0,8.52544680372593,13.6909552647002,,,,,-1.69956971733171,4.71597491377018,5.92469666777143,,8.90701555527113,7.71681162980397,,,2.86085627008683,7.29039913720553,7.29039913720553,1.38934991567257,,,5.00964955577048,,18.7679151898052,,,6.55065867163123,,10.830868340563,,2.73068127529091,4.74781691059098,4.08114558472556,,,,,,2.0524456510885,3.09999999999999,7.23517850024622,5.86474062853655,,,0.706036852223519,,,,5.87921188610359,,-0.436916189254404,12.4282365485987
"1970",,,8.86265708513292,,,,,3.04564334084789,,,7.1950801358272,5.54272522514788,,-5.64964985880265,,5.61985230234023,9.50940299458426,,5.77417585867485,4.80769287096533,2.09775758146533,6.312292358804,,-0.494821089404311,,17.1202681872595,8.76994747088169,,,0.117019619248609,21.325670724065,,3.09206823231236,2.58342192543184,,,,2.33296604432935,1.85965647039421,,2.12251960306311,19.3999999999999,6.95651509881007,,-0.245056575242032,6.35847016031067,7.50313434275239,10.3750318451077,,,,,2.02608915238629,,,18.2266827877323,1.77130406985164,13.3318551947923,6.87192932986009,5.59851560557931,2.97729468370437,,,,,5.60419676751836,5.67244705997494,,5.81128993925073,12.7027040084675,5.33390779168666,5.73351446734381,1.62671134424308,8.67934217258247,6.1538454816851,12.0521166734112,,9.72347295384336,7.95529540229552,,,5.70788361185673,,,4.25545694201691,,4.52740810799099,2.5352761685939,,2.42059611831552,3.62672099532324,9.2067028569071,4.69999999999999,7.45656003191293,5.15722974263578,8.1520959689144,9.83604104663438,,,,7.30732962104801,5.3105024285488,12.0644090509614,-1.0237893427032,,,-4.65544693771753,,8.34464982706433,,3.18174997015304,,,6.5691691075742,6.81096477313265,8.02144279750389,,,2.17707282994874,6.66319855548132,,,,7.47324856846325,4.1643784949263,7.27013356977335,1.75993383128375,,,5.27645557933074,0.4792979735833,5.98653859438285,,6.13695484972929,,,11.9859311506655,,6.50248403316512,,8.9447424594878,7.73941005676011,7.58746444373497,,,,,4.71346041428298,,4.97933059231582,,2.57599212284974,5.6947955364576,30.9992897364597,,1.35382659111205,3.05577892423676,25.0072419248557,0.396320649811585,2.00134334204319,2.52308582583356,13.8950952380953,,,11.3534617188815,,6.38674637904484,10.8428035941575,5.55342573587623,5.8368764690681,3.76460485256034,,12.6126037066661,8.68703087790334,,,,6.00142524635518,,,,12.0344724009695,8.56204550785866,,8.87187149794502,8.62049323696061,13.7880079177434,,,,,4.58140792145096,5.24854346415778,5.73388625054902,,4.32091141823685,3.84663427484844,,,10.7458931650256,8.2295998136819,8.2295998136819,5.92507376340259,,,6.04200875163581,,-3.80781915613414,,,11.4079543040062,,2.52430263311365,,3.53363654674487,4.66963237160523,3.23350913399069,,,,,,6.91833442973808,0.200000000000003,7.68579409589374,2.33321340810872,,,7.71191435292704,,,,3.16979164463382,,4.79711310428985,22.5651512243167
